Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,759.6875,-0.12900306,405.9834609985352,405.9834609985352,1.0
24000,1.4266516,681.7058823529412,0.3160914,372.6496583090888,372.6496583090888,1.0
36000,1.432441,573.1904761904761,1.0925426,376.73512903849286,376.73512903849286,1.0
48000,1.4305762,1008.3076923076923,1.8495345,751.7303981781006,751.7303981781006,1.0
60000,1.4259201,1229.0,3.2050643,700.1494717068142,700.1494717068142,1.0
72000,1.4276017,910.9230769230769,5.125594,967.8032903671265,967.8032903671265,1.0
84000,1.4205934,1410.625,6.844268,1486.5913252830505,1486.5913252830505,1.0
96000,1.4174672,1187.4545454545455,8.211404,1279.485791015625,1279.485791015625,1.0
108000,1.4135232,707.1428571428571,11.70265,866.9369394938151,866.9369394938151,1.0
120000,1.4109454,992.0769230769231,13.251085,1260.847935603215,1260.847935603215,1.0
132000,1.4141678,858.2,17.008581,1210.58359375,1210.58359375,1.0
144000,1.4146549,1029.090909090909,22.054342,1631.4825761968439,1631.4825761968439,1.0
156000,1.4123793,616.6875,20.75255,788.4225296974182,788.4225296974182,1.0
168000,1.4180228,1382.3,23.386587,2306.25673828125,2306.25673828125,1.0
180000,1.4132288,1427.7142857142858,29.968752,2817.290011814662,2817.290011814662,1.0
192000,1.4038479,1010.0769230769231,29.48299,1587.8759466317983,1587.8759466317983,1.0
204000,1.4009532,1138.75,31.650686,1998.5672022501628,1998.5672022501628,1.0
216000,1.3999395,1014.6363636363636,35.073887,2141.24478114735,2141.24478114735,1.0
228000,1.3991421,1327.0,38.989685,2453.6922403971353,2453.6922403971353,1.0
240000,1.3981382,1159.0,44.18746,3221.4705755060368,3221.4705755060368,1.0
252000,1.3939458,2629.25,52.475792,6464.260833740234,6464.260833740234,1.0
264000,1.3903021,941.25,54.696186,2513.728392918905,2513.728392918905,1.0
276000,1.3910317,1541.4444444444443,63.697582,4348.020935058594,4348.020935058594,1.0
288000,1.390747,1460.5,58.17523,4108.428137779236,4108.428137779236,1.0
300000,1.3926309,998.3636363636364,65.90527,2929.8710445057263,2929.8710445057263,1.0
312000,1.3913786,2348.6666666666665,87.11422,7639.856884765625,7639.856884765625,1.0
324000,1.3881327,1366.875,78.14577,4415.139012654622,4415.139012654622,1.0
